Date,Price
2022-01-01,88.6
2022-01-02,86.72
2022-01-03,88.05
2022-01-04,88.52
2022-01-05,87.81
2022-01-06,85.68
2022-01-07,85.04
2022-01-08,87.1
2022-01-09,86.17
2022-01-10,84.67
2022-01-11,84.28
2022-01-12,85.16
2022-01-13,83.82
2022-01-14,83.94
2022-01-15,89.4
2022-01-16,82.5
2022-01-17,83.76
2022-01-18,85.84
2022-01-19,91.62
2022-01-20,85.86
2022-01-21,84.68
2022-01-22,85.69
2022-01-23,89.18
2022-01-24,84.25
2022-01-25,83.33
2022-01-26,87.99
2022-01-27,88.01
2022-01-28,84.15
2022-01-29,83.69
2022-01-30,81.05
2022-01-31,83.29
2022-02-01,85.06
2022-02-02,88.7
2022-02-03,83.55
2022-02-04,85.65
2022-02-05,86.48
2022-02-06,85.79
2022-02-07,84.44
2022-02-08,84.11
2022-02-09,86.67
2022-02-10,82.64
2022-02-11,80.08
2022-02-12,84.16
2022-02-13,85.83
2022-02-14,85.84
2022-02-15,82.03
2022-02-16,83.84
2022-02-17,85.78
2022-02-18,87.49
2022-02-19,87.63
2022-02-20,86.25
2022-02-21,83.93
2022-02-22,85.3
2022-02-23,84.94
2022-02-24,86.85
2022-02-25,84.99
2022-02-26,83.4
2022-02-27,85.59
2022-02-28,86.06
2022-03-01,85.64
2022-03-02,82.32
2022-03-03,87.14
2022-03-04,80.66
2022-03-05,83.05
2022-03-06,83.59
2022-03-07,84.28
2022-03-08,86.95
2022-03-09,86.33
2022-03-10,88.3
2022-03-11,86.47
2022-03-12,86.18
2022-03-13,84.21
2022-03-14,84.86
2022-03-15,85.79
2022-03-16,85.53
2022-03-17,88.69
2022-03-18,82.84
2022-03-19,85.23
2022-03-20,82.95
2022-03-21,84.66
2022-03-22,86.43
2022-03-23,84.91
2022-03-24,85.7
2022-03-25,85.21
2022-03-26,85.75
2022-03-27,85.44
2022-03-28,83.93
2022-03-29,84.73
2022-03-30,85.45
2022-03-31,89.06
2022-04-01,86.73
2022-04-02,84.28
2022-04-03,84.55
2022-04-04,83.54
2022-04-05,83.18
2022-04-06,83.93
2022-04-07,84.53
2022-04-08,83.48
2022-04-09,84.75
2022-04-10,86.94
2022-04-11,83.11
2022-04-12,85.18
2022-04-13,84.13
2022-04-14,83.73
2022-04-15,85.21
2022-04-16,86.05
2022-04-17,86.25
2022-04-18,87.41
2022-04-19,86.77
2022-04-20,86.01
2022-04-21,85.0
2022-04-22,88.45
2022-04-23,83.19
2022-04-24,86.0
2022-04-25,85.73
2022-04-26,87.71
2022-04-27,84.48
2022-04-28,86.03
2022-04-29,83.44
2022-04-30,86.26
2022-05-01,88.48
2022-05-02,86.8
2022-05-03,82.39
2022-05-04,84.71
2022-05-05,85.81
2022-05-06,88.87
2022-05-07,89.81
2022-05-08,84.5
2022-05-09,84.68
2022-05-10,83.75
2022-05-11,84.27
2022-05-12,84.63
2022-05-13,81.04
2022-05-14,86.88
2022-05-15,87.35
2022-05-16,85.73
2022-05-17,82.71
2022-05-18,86.41
2022-05-19,84.68
2022-05-20,84.44
2022-05-21,83.85
2022-05-22,82.79
2022-05-23,86.02
2022-05-24,88.23
2022-05-25,86.86
2022-05-26,86.63
2022-05-27,82.91
2022-05-28,83.87
2022-05-29,83.3
2022-05-30,87.88
2022-05-31,84.9
2022-06-01,86.58
2022-06-02,85.34
2022-06-03,85.87
2022-06-04,84.02
2022-06-05,85.47
2022-06-06,87.38
2022-06-07,84.9
2022-06-08,81.77
2022-06-09,87.34
2022-06-10,84.49
2022-06-11,84.14
2022-06-12,85.62
2022-06-13,84.24
2022-06-14,85.19
2022-06-15,88.71
2022-06-16,82.88
2022-06-17,90.54
2022-06-18,84.11
2022-06-19,84.41
2022-06-20,78.79
2022-06-21,84.13
2022-06-22,82.07
2022-06-23,85.75
2022-06-24,87.18
2022-06-25,86.71
2022-06-26,86.12
2022-06-27,87.79
2022-06-28,83.53
2022-06-29,83.3
2022-06-30,82.53
2022-07-01,85.89
2022-07-02,82.57
2022-07-03,79.42
2022-07-04,84.88
2022-07-05,87.22
2022-07-06,81.85
2022-07-07,85.29
2022-07-08,84.34
2022-07-09,86.43
2022-07-10,86.41
2022-07-11,86.88
2022-07-12,84.96
2022-07-13,86.66
2022-07-14,85.16
2022-07-15,85.0
2022-07-16,85.13
2022-07-17,86.49
2022-07-18,86.14
2022-07-19,86.98
2022-07-20,89.92
2022-07-21,84.68
2022-07-22,86.01
2022-07-23,85.36
2022-07-24,84.35
2022-07-25,83.44
2022-07-26,82.4
2022-07-27,86.72
2022-07-28,83.57
2022-07-29,83.26
2022-07-30,81.95
2022-07-31,83.59
2022-08-01,84.92
2022-08-02,87.54
2022-08-03,86.2
2022-08-04,85.23
2022-08-05,89.03
2022-08-06,86.21
2022-08-07,84.79
2022-08-08,81.53
2022-08-09,86.47
2022-08-10,84.11
2022-08-11,81.51
2022-08-12,84.4
2022-08-13,82.65
2022-08-14,83.83
2022-08-15,82.76
2022-08-16,85.93
2022-08-17,84.52
2022-08-18,86.89
2022-08-19,82.26
2022-08-20,87.4
2022-08-21,85.35
2022-08-22,83.49
2022-08-23,84.32
2022-08-24,87.06
2022-08-25,83.29
2022-08-26,87.88
2022-08-27,87.29
2022-08-28,82.75
2022-08-29,84.4
2022-08-30,87.76
2022-08-31,83.89
2022-09-01,87.1
2022-09-02,85.78
2022-09-03,85.49
2022-09-04,86.66
2022-09-05,85.04
2022-09-06,84.43
2022-09-07,86.75
2022-09-08,85.89
2022-09-09,80.36
2022-09-10,88.09
2022-09-11,84.96
2022-09-12,86.92
2022-09-13,84.4
2022-09-14,89.58
2022-09-15,84.01
2022-09-16,83.81
2022-09-17,83.49
2022-09-18,85.89
2022-09-19,82.54
2022-09-20,84.38
2022-09-21,86.54
2022-09-22,85.18
2022-09-23,85.02
2022-09-24,81.47
2022-09-25,84.14
2022-09-26,83.06
2022-09-27,87.15
2022-09-28,87.36
2022-09-29,84.27
2022-09-30,85.64
2022-10-01,85.47
2022-10-02,84.42
2022-10-03,85.23
2022-10-04,87.62
2022-10-05,86.74
2022-10-06,84.24
2022-10-07,87.19
2022-10-08,86.71
2022-10-09,82.42
2022-10-10,85.17
2022-10-11,88.29
2022-10-12,84.46
2022-10-13,86.69
2022-10-14,82.9
2022-10-15,91.68
2022-10-16,82.78
2022-10-17,83.76
2022-10-18,86.94
2022-10-19,80.58
2022-10-20,86.28
2022-10-21,87.17
2022-10-22,86.36
2022-10-23,84.52
2022-10-24,86.0
2022-10-25,87.62
2022-10-26,82.63
2022-10-27,87.41
2022-10-28,87.67
2022-10-29,84.89
2022-10-30,82.78
2022-10-31,86.54
2022-11-01,83.42
2022-11-02,87.66
2022-11-03,80.99
2022-11-04,85.47
2022-11-05,82.63
2022-11-06,84.04
2022-11-07,84.04
2022-11-08,86.01
2022-11-09,85.69
2022-11-10,82.96
2022-11-11,84.49
2022-11-12,86.88
2022-11-13,84.56
2022-11-14,85.37
2022-11-15,87.38
2022-11-16,86.01
2022-11-17,83.96
2022-11-18,83.47
2022-11-19,86.76
2022-11-20,85.91
2022-11-21,85.62
2022-11-22,85.28
2022-11-23,83.2
2022-11-24,81.88
2022-11-25,86.51
2022-11-26,84.24
2022-11-27,86.43
2022-11-28,85.84
2022-11-29,85.55
2022-11-30,87.19
2022-12-01,82.08
2022-12-02,88.48
2022-12-03,84.06
2022-12-04,82.41
2022-12-05,84.54
2022-12-06,85.75
2022-12-07,84.47
2022-12-08,84.24
2022-12-09,85.54
2022-12-10,86.03
2022-12-11,85.01
2022-12-12,84.39
2022-12-13,86.85
2022-12-14,83.38
2022-12-15,84.68
2022-12-16,84.07
2022-12-17,81.88
2022-12-18,84.54
2022-12-19,80.31
2022-12-20,83.8
2022-12-21,87.41
2022-12-22,87.52
2022-12-23,81.99
2022-12-24,81.9
2022-12-25,83.8
2022-12-26,87.95
2022-12-27,81.12
2022-12-28,85.42
2022-12-29,82.5
2022-12-30,83.58
2022-12-31,84.83
2023-01-01,85.22
2023-01-02,86.26
2023-01-03,86.01
2023-01-04,84.43
2023-01-05,83.86
2023-01-06,83.06
2023-01-07,83.0
2023-01-08,84.92
2023-01-09,86.81
2023-01-10,84.34
2023-01-11,85.7
2023-01-12,83.6
2023-01-13,85.71
2023-01-14,86.25
2023-01-15,81.71
2023-01-16,85.07
2023-01-17,86.87
2023-01-18,88.53
2023-01-19,83.3
2023-01-20,84.59
2023-01-21,87.64
2023-01-22,86.02
2023-01-23,82.08
2023-01-24,86.85
2023-01-25,86.76
2023-01-26,87.52
2023-01-27,83.67
2023-01-28,84.84
2023-01-29,86.51
2023-01-30,85.64
2023-01-31,87.33
2023-02-01,84.23
2023-02-02,84.17
2023-02-03,85.42
2023-02-04,81.19
2023-02-05,84.39
2023-02-06,84.48
2023-02-07,84.02
2023-02-08,85.03
2023-02-09,87.44
2023-02-10,86.48
2023-02-11,86.59
2023-02-12,86.06
2023-02-13,85.34
2023-02-14,82.95
2023-02-15,88.27
2023-02-16,86.74
2023-02-17,81.63
2023-02-18,87.05
2023-02-19,85.41
2023-02-20,85.17
2023-02-21,85.35
2023-02-22,86.23
2023-02-23,83.72
