Date,Price
2022-01-01,114.62
2022-01-02,116.36
2022-01-03,114.71
2022-01-04,117.14
2022-01-05,117.57
2022-01-06,113.44
2022-01-07,116.93
2022-01-08,114.39
2022-01-09,113.5
2022-01-10,115.74
2022-01-11,114.89
2022-01-12,117.1
2022-01-13,116.42
2022-01-14,114.22
2022-01-15,116.85
2022-01-16,115.7
2022-01-17,118.99
2022-01-18,111.98
2022-01-19,115.51
2022-01-20,116.17
2022-01-21,116.15
2022-01-22,112.81
2022-01-23,114.06
2022-01-24,117.64
2022-01-25,116.1
2022-01-26,118.34
2022-01-27,116.34
2022-01-28,114.35
2022-01-29,113.46
2022-01-30,116.13
2022-01-31,111.94
2022-02-01,115.2
2022-02-02,114.11
2022-02-03,110.83
2022-02-04,115.03
2022-02-05,113.71
2022-02-06,115.25
2022-02-07,116.31
2022-02-08,115.07
2022-02-09,113.09
2022-02-10,114.25
2022-02-11,115.9
2022-02-12,114.43
2022-02-13,116.06
2022-02-14,113.72
2022-02-15,113.47
2022-02-16,114.72
2022-02-17,112.06
2022-02-18,115.17
2022-02-19,114.3
2022-02-20,114.47
2022-02-21,111.57
2022-02-22,119.17
2022-02-23,115.71
2022-02-24,114.48
2022-02-25,113.5
2022-02-26,114.01
2022-02-27,114.53
2022-02-28,117.37
2022-03-01,116.84
2022-03-02,114.54
2022-03-03,116.46
2022-03-04,114.53
2022-03-05,115.54
2022-03-06,118.48
2022-03-07,116.39
2022-03-08,115.57
2022-03-09,113.53
2022-03-10,114.34
2022-03-11,116.25
2022-03-12,113.91
2022-03-13,116.36
2022-03-14,118.65
2022-03-15,115.02
2022-03-16,116.36
2022-03-17,116.16
2022-03-18,117.42
2022-03-19,115.75
2022-03-20,113.27
2022-03-21,113.91
2022-03-22,117.75
2022-03-23,113.13
2022-03-24,115.25
2022-03-25,112.11
2022-03-26,114.22
2022-03-27,117.17
2022-03-28,114.51
2022-03-29,116.5
2022-03-30,113.23
2022-03-31,112.03
2022-04-01,116.46
2022-04-02,118.83
2022-04-03,115.98
2022-04-04,115.08
2022-04-05,117.02
2022-04-06,115.09
2022-04-07,114.09
2022-04-08,115.44
2022-04-09,114.74
2022-04-10,113.66
2022-04-11,114.3
2022-04-12,115.24
2022-04-13,115.08
2022-04-14,113.2
2022-04-15,114.52
2022-04-16,113.12
2022-04-17,113.65
2022-04-18,114.54
2022-04-19,111.5
2022-04-20,114.07
2022-04-21,114.14
2022-04-22,116.63
2022-04-23,116.3
2022-04-24,111.04
2022-04-25,115.08
2022-04-26,111.82
2022-04-27,115.33
2022-04-28,116.25
2022-04-29,115.34
2022-04-30,110.15
2022-05-01,115.92
2022-05-02,117.24
2022-05-03,113.08
2022-05-04,117.77
2022-05-05,115.41
2022-05-06,115.38
2022-05-07,115.89
2022-05-08,116.44
2022-05-09,113.8
2022-05-10,117.95
2022-05-11,116.23
2022-05-12,112.14
2022-05-13,113.86
2022-05-14,113.27
2022-05-15,114.71
2022-05-16,114.42
2022-05-17,114.74
2022-05-18,110.44
2022-05-19,114.94
2022-05-20,114.81
2022-05-21,115.5
2022-05-22,114.34
2022-05-23,116.94
2022-05-24,117.99
2022-05-25,115.71
2022-05-26,116.4
2022-05-27,115.19
2022-05-28,115.34
2022-05-29,116.75
2022-05-30,120.06
2022-05-31,113.36
2022-06-01,117.9
2022-06-02,114.17
2022-06-03,117.07
2022-06-04,116.98
2022-06-05,116.68
2022-06-06,114.46
2022-06-07,114.89
2022-06-08,114.75
2022-06-09,109.94
2022-06-10,114.14
2022-06-11,115.98
2022-06-12,111.74
2022-06-13,114.29
2022-06-14,119.15
2022-06-15,113.82
2022-06-16,115.35
2022-06-17,117.01
2022-06-18,112.93
2022-06-19,114.46
2022-06-20,115.86
2022-06-21,112.52
2022-06-22,116.75
2022-06-23,115.76
2022-06-24,112.74
2022-06-25,116.41
2022-06-26,116.01
2022-06-27,115.65
2022-06-28,114.21
2022-06-29,115.57
2022-06-30,117.45
2022-07-01,113.66
2022-07-02,117.95
2022-07-03,116.85
2022-07-04,115.71
2022-07-05,115.34
2022-07-06,109.56
2022-07-07,114.1
2022-07-08,112.27
2022-07-09,113.44
2022-07-10,112.96
2022-07-11,117.93
2022-07-12,116.31
2022-07-13,112.79
2022-07-14,117.05
2022-07-15,111.02
2022-07-16,117.0
2022-07-17,114.76
2022-07-18,114.95
2022-07-19,111.35
2022-07-20,114.78
2022-07-21,117.11
2022-07-22,114.99
2022-07-23,114.63
2022-07-24,114.52
2022-07-25,117.27
2022-07-26,113.15
2022-07-27,117.68
2022-07-28,112.04
2022-07-29,116.92
2022-07-30,114.17
2022-07-31,117.48
