Date,Price
2022-01-01,85.1
2022-01-02,80.33
2022-01-03,88.62
2022-01-04,84.24
2022-01-05,86.26
2022-01-06,86.42
2022-01-07,82.63
2022-01-08,83.65
2022-01-09,85.99
2022-01-10,85.57
2022-01-11,87.78
2022-01-12,85.15
2022-01-13,84.65
2022-01-14,88.23
2022-01-15,85.22
2022-01-16,85.98
2022-01-17,86.74
2022-01-18,82.07
2022-01-19,84.65
2022-01-20,81.69
2022-01-21,84.32
2022-01-22,86.56
2022-01-23,86.69
2022-01-24,85.53
2022-01-25,88.31
2022-01-26,83.86
2022-01-27,83.91
2022-01-28,85.56
2022-01-29,81.93
2022-01-30,82.19
2022-01-31,83.64
2022-02-01,86.05
2022-02-02,85.87
2022-02-03,84.94
2022-02-04,86.07
2022-02-05,86.06
2022-02-06,86.01
2022-02-07,79.8
2022-02-08,85.7
2022-02-09,86.41
2022-02-10,80.77
2022-02-11,82.08
2022-02-12,82.01
2022-02-13,84.27
2022-02-14,85.49
2022-02-15,87.53
2022-02-16,84.46
2022-02-17,83.1
2022-02-18,84.43
2022-02-19,86.53
2022-02-20,81.45
2022-02-21,85.93
2022-02-22,84.14
2022-02-23,84.05
2022-02-24,87.22
2022-02-25,86.74
2022-02-26,90.08
2022-02-27,85.62
2022-02-28,87.15
2022-03-01,84.08
2022-03-02,84.13
2022-03-03,84.39
2022-03-04,82.37
2022-03-05,90.3
2022-03-06,83.52
2022-03-07,81.68
2022-03-08,87.58
2022-03-09,87.34
2022-03-10,89.03
2022-03-11,83.58
2022-03-12,87.35
2022-03-13,84.81
2022-03-14,87.22
2022-03-15,81.15
2022-03-16,82.06
2022-03-17,82.68
2022-03-18,85.79
2022-03-19,82.91
2022-03-20,86.3
2022-03-21,86.24
2022-03-22,83.7
2022-03-23,86.94
2022-03-24,81.94
2022-03-25,86.53
2022-03-26,84.57
2022-03-27,86.57
2022-03-28,85.37
2022-03-29,89.64
2022-03-30,88.02
2022-03-31,88.05
2022-04-01,89.52
2022-04-02,85.14
2022-04-03,83.94
2022-04-04,85.63
2022-04-05,85.45
2022-04-06,86.91
2022-04-07,82.94
2022-04-08,86.5
2022-04-09,85.35
2022-04-10,84.3
2022-04-11,87.72
2022-04-12,83.39
2022-04-13,84.24
2022-04-14,81.56
2022-04-15,84.33
2022-04-16,85.13
2022-04-17,87.9
2022-04-18,80.84
2022-04-19,80.94
2022-04-20,83.07
2022-04-21,85.24
2022-04-22,85.81
2022-04-23,84.01
2022-04-24,82.56
2022-04-25,84.68
2022-04-26,85.78
2022-04-27,85.72
2022-04-28,82.52
2022-04-29,81.28
2022-04-30,82.32
2022-05-01,83.93
