Date,Price
2022-01-01,114.64
2022-01-02,115.3
2022-01-03,111.97
2022-01-04,114.07
2022-01-05,115.96
2022-01-06,113.02
2022-01-07,115.26
2022-01-08,116.2
2022-01-09,112.62
2022-01-10,115.18
2022-01-11,117.34
2022-01-12,114.44
2022-01-13,114.08
2022-01-14,114.37
2022-01-15,115.93
2022-01-16,115.75
2022-01-17,111.51
2022-01-18,114.91
2022-01-19,115.71
2022-01-20,114.22
2022-01-21,115.76
2022-01-22,113.63
2022-01-23,113.79
2022-01-24,119.79
2022-01-25,117.07
2022-01-26,112.59
2022-01-27,114.73
2022-01-28,116.14
2022-01-29,115.59
2022-01-30,116.07
2022-01-31,113.35
2022-02-01,117.71
2022-02-02,119.36
2022-02-03,115.29
2022-02-04,114.4
2022-02-05,115.19
2022-02-06,116.16
2022-02-07,113.14
2022-02-08,119.38
2022-02-09,115.47
2022-02-10,116.19
2022-02-11,113.92
2022-02-12,118.39
2022-02-13,115.53
2022-02-14,115.74
2022-02-15,112.83
2022-02-16,114.57
2022-02-17,116.76
2022-02-18,117.3
2022-02-19,117.11
2022-02-20,115.21
2022-02-21,117.9
2022-02-22,115.57
2022-02-23,112.35
2022-02-24,112.76
2022-02-25,113.08
2022-02-26,117.93
2022-02-27,116.37
2022-02-28,112.93
2022-03-01,113.4
2022-03-02,113.82
2022-03-03,114.04
2022-03-04,114.91
2022-03-05,116.08
2022-03-06,114.64
2022-03-07,116.13
2022-03-08,113.4
2022-03-09,115.08
2022-03-10,114.49
2022-03-11,116.4
2022-03-12,114.06
2022-03-13,115.32
2022-03-14,118.04
2022-03-15,112.23
2022-03-16,115.87
2022-03-17,116.23
2022-03-18,113.74
2022-03-19,113.16
2022-03-20,112.49
2022-03-21,117.41
2022-03-22,113.36
2022-03-23,110.81
2022-03-24,117.24
2022-03-25,115.15
2022-03-26,118.13
2022-03-27,111.08
2022-03-28,112.99
2022-03-29,111.72
2022-03-30,114.32
2022-03-31,115.02
2022-04-01,110.17
2022-04-02,113.47
2022-04-03,118.02
2022-04-04,113.94
2022-04-05,114.9
2022-04-06,110.66
2022-04-07,117.64
2022-04-08,118.9
2022-04-09,114.51
2022-04-10,116.02
2022-04-11,117.67
2022-04-12,120.04
2022-04-13,116.7
2022-04-14,116.59
2022-04-15,116.97
2022-04-16,118.48
2022-04-17,115.81
2022-04-18,117.87
2022-04-19,116.43
2022-04-20,118.86
2022-04-21,114.62
2022-04-22,117.68
2022-04-23,115.0
2022-04-24,119.23
2022-04-25,115.16
2022-04-26,115.65
2022-04-27,111.09
2022-04-28,116.92
2022-04-29,113.95
2022-04-30,114.12
2022-05-01,118.37
2022-05-02,115.35
2022-05-03,114.5
2022-05-04,115.31
2022-05-05,114.49
2022-05-06,116.75
2022-05-07,115.5
2022-05-08,118.64
2022-05-09,115.12
2022-05-10,116.6
2022-05-11,118.59
2022-05-12,113.49
2022-05-13,116.29
2022-05-14,120.97
2022-05-15,117.5
2022-05-16,115.42
2022-05-17,116.47
2022-05-18,112.3
2022-05-19,115.21
2022-05-20,114.16
2022-05-21,112.47
2022-05-22,112.74
2022-05-23,111.42
2022-05-24,117.39
2022-05-25,113.88
2022-05-26,113.13
2022-05-27,114.97
2022-05-28,113.3
2022-05-29,110.31
2022-05-30,118.56
2022-05-31,117.64
2022-06-01,114.48
2022-06-02,119.11
2022-06-03,113.9
2022-06-04,111.5
2022-06-05,116.48
2022-06-06,116.86
2022-06-07,114.28
2022-06-08,116.15
2022-06-09,115.23
2022-06-10,114.11
2022-06-11,112.75
2022-06-12,115.12
2022-06-13,115.67
2022-06-14,112.23
2022-06-15,117.56
2022-06-16,114.27
2022-06-17,112.87
2022-06-18,114.31
2022-06-19,115.4
2022-06-20,114.41
2022-06-21,114.01
2022-06-22,114.27
2022-06-23,113.55
2022-06-24,115.22
2022-06-25,115.76
2022-06-26,117.72
2022-06-27,113.24
2022-06-28,118.26
2022-06-29,113.01
2022-06-30,117.45
2022-07-01,116.2
2022-07-02,113.02
2022-07-03,117.23
2022-07-04,114.11
2022-07-05,116.72
2022-07-06,112.49
2022-07-07,114.95
2022-07-08,114.51
2022-07-09,115.8
2022-07-10,115.5
