Date,Price
2022-01-01,30.76
2022-01-02,29.91
2022-01-03,30.12
2022-01-04,30.89
2022-01-05,30.03
2022-01-06,32.29
2022-01-07,27.53
2022-01-08,30.58
2022-01-09,29.91
2022-01-10,29.88
2022-01-11,29.5
2022-01-12,31.52
2022-01-13,31.71
2022-01-14,30.46
2022-01-15,29.57
2022-01-16,30.43
2022-01-17,30.39
2022-01-18,29.97
2022-01-19,31.53
2022-01-20,29.42
2022-01-21,30.0
2022-01-22,29.19
2022-01-23,30.39
2022-01-24,30.69
2022-01-25,30.7
2022-01-26,30.26
2022-01-27,28.8
2022-01-28,28.24
2022-01-29,31.37
2022-01-30,30.69
2022-01-31,29.38
2022-02-01,29.35
2022-02-02,28.83
2022-02-03,28.09
2022-02-04,30.22
2022-02-05,30.0
2022-02-06,31.13
2022-02-07,30.73
2022-02-08,31.08
2022-02-09,29.91
2022-02-10,29.72
2022-02-11,29.02
2022-02-12,30.3
2022-02-13,31.19
2022-02-14,29.61
2022-02-15,29.56
2022-02-16,28.08
2022-02-17,28.83
2022-02-18,29.15
2022-02-19,26.44
2022-02-20,29.57
2022-02-21,28.08
2022-02-22,29.77
2022-02-23,31.66
2022-02-24,31.75
2022-02-25,29.87
2022-02-26,27.82
2022-02-27,29.62
2022-02-28,29.25
2022-03-01,29.65
2022-03-02,32.39
2022-03-03,30.06
2022-03-04,32.41
2022-03-05,30.04
2022-03-06,28.89
2022-03-07,28.84
2022-03-08,29.47
2022-03-09,30.63
2022-03-10,29.4
2022-03-11,31.36
2022-03-12,31.52
2022-03-13,28.75
2022-03-14,28.62
2022-03-15,29.81
2022-03-16,30.14
2022-03-17,30.3
2022-03-18,29.36
2022-03-19,29.72
2022-03-20,31.22
2022-03-21,30.58
2022-03-22,31.59
2022-03-23,29.64
2022-03-24,30.67
2022-03-25,31.48
2022-03-26,30.68
2022-03-27,30.92
2022-03-28,30.54
2022-03-29,31.64
2022-03-30,30.7
2022-03-31,32.48
2022-04-01,29.83
2022-04-02,29.71
2022-04-03,28.36
2022-04-04,29.89
2022-04-05,29.35
2022-04-06,28.25
2022-04-07,31.26
2022-04-08,29.7
2022-04-09,28.87
2022-04-10,26.7
2022-04-11,28.69
2022-04-12,30.49
2022-04-13,31.27
2022-04-14,30.25
2022-04-15,28.0
2022-04-16,29.78
2022-04-17,29.09
2022-04-18,31.16
2022-04-19,27.17
2022-04-20,31.28
2022-04-21,29.76
2022-04-22,30.31
2022-04-23,31.02
2022-04-24,29.13
2022-04-25,30.07
2022-04-26,31.28
2022-04-27,31.46
2022-04-28,30.64
2022-04-29,30.5
2022-04-30,30.34
2022-05-01,34.76
2022-05-02,36.95
2022-05-03,37.4
2022-05-04,36.42
2022-05-05,35.09
2022-05-06,37.37
2022-05-07,35.67
2022-05-08,37.11
2022-05-09,34.52
2022-05-10,35.54
2022-05-11,35.71
2022-05-12,34.96
2022-05-13,34.89
2022-05-14,35.08
2022-05-15,34.3
2022-05-16,35.69
2022-05-17,37.37
2022-05-18,34.07
2022-05-19,34.75
2022-05-20,34.2
2022-05-21,34.85
2022-05-22,37.19
2022-05-23,33.94
2022-05-24,36.26
2022-05-25,36.89
2022-05-26,32.49
2022-05-27,37.03
2022-05-28,35.87
2022-05-29,33.76
2022-05-30,35.6
2022-05-31,35.91
2022-06-01,36.64
