Date,Price
2022-01-01,29.92
2022-01-02,29.14
2022-01-03,29.06
2022-01-04,29.61
2022-01-05,28.26
2022-01-06,31.61
2022-01-07,30.21
2022-01-08,31.3
2022-01-09,30.48
2022-01-10,28.42
2022-01-11,31.61
2022-01-12,28.62
2022-01-13,30.95
2022-01-14,28.23
2022-01-15,28.03
2022-01-16,30.32
2022-01-17,29.69
2022-01-18,29.56
2022-01-19,31.52
2022-01-20,30.37
2022-01-21,31.52
2022-01-22,28.49
2022-01-23,32.36
2022-01-24,30.93
2022-01-25,29.82
2022-01-26,29.05
2022-01-27,30.15
2022-01-28,31.41
2022-01-29,29.51
2022-01-30,29.05
2022-01-31,30.3
2022-02-01,31.43
2022-02-02,27.5
2022-02-03,29.86
2022-02-04,28.3
2022-02-05,31.73
2022-02-06,29.62
2022-02-07,27.72
2022-02-08,27.96
2022-02-09,30.86
2022-02-10,27.95
2022-02-11,30.12
2022-02-12,28.47
2022-02-13,31.72
2022-02-14,30.72
2022-02-15,30.69
2022-02-16,29.64
2022-02-17,30.28
2022-02-18,30.99
2022-02-19,30.87
2022-02-20,30.89
2022-02-21,29.84
2022-02-22,31.23
2022-02-23,29.78
2022-02-24,29.05
2022-02-25,30.45
2022-02-26,29.09
2022-02-27,29.65
2022-02-28,30.02
2022-03-01,29.24
2022-03-02,30.09
2022-03-03,31.71
2022-03-04,30.08
2022-03-05,30.7
2022-03-06,30.22
2022-03-07,31.17
2022-03-08,30.29
2022-03-09,30.35
2022-03-10,28.66
2022-03-11,28.17
2022-03-12,31.73
2022-03-13,29.38
2022-03-14,30.61
2022-03-15,29.61
2022-03-16,28.64
2022-03-17,27.88
2022-03-18,30.33
2022-03-19,29.97
2022-03-20,29.65
2022-03-21,30.86
2022-03-22,28.54
2022-03-23,28.81
2022-03-24,30.22
2022-03-25,29.53
2022-03-26,30.24
2022-03-27,29.66
2022-03-28,29.55
2022-03-29,31.87
2022-03-30,27.86
2022-03-31,30.44
2022-04-01,29.29
2022-04-02,30.96
2022-04-03,29.65
2022-04-04,30.19
2022-04-05,28.16
2022-04-06,31.06
2022-04-07,31.72
2022-04-08,30.48
2022-04-09,30.15
2022-04-10,28.07
2022-04-11,31.9
2022-04-12,28.97
2022-04-13,29.85
2022-04-14,30.83
2022-04-15,32.58
2022-04-16,30.76
2022-04-17,29.53
2022-04-18,29.94
2022-04-19,31.67
2022-04-20,30.14
2022-04-21,31.64
2022-04-22,29.8
2022-04-23,29.78
2022-04-24,30.27
2022-04-25,31.23
2022-04-26,29.16
2022-04-27,29.26
2022-04-28,29.46
2022-04-29,28.27
2022-04-30,28.61
2022-05-01,37.69
2022-05-02,36.83
2022-05-03,37.78
2022-05-04,34.11
2022-05-05,37.65
2022-05-06,32.6
2022-05-07,36.45
2022-05-08,35.34
2022-05-09,35.03
2022-05-10,35.22
2022-05-11,33.97
2022-05-12,36.3
2022-05-13,35.08
2022-05-14,34.09
2022-05-15,34.21
