Date,Price
2022-01-01,44.51
2022-01-02,44.47
2022-01-03,44.96
2022-01-04,46.04
2022-01-05,44.05
2022-01-06,46.25
2022-01-07,44.66
2022-01-08,46.58
2022-01-09,44.45
2022-01-10,45.85
2022-01-11,45.9
2022-01-12,46.05
2022-01-13,43.9
2022-01-14,45.98
2022-01-15,43.79
2022-01-16,45.18
2022-01-17,45.1
2022-01-18,45.17
2022-01-19,44.59
2022-01-20,44.08
2022-01-21,44.93
2022-01-22,44.77
2022-01-23,45.06
2022-01-24,46.31
2022-01-25,45.22
2022-01-26,45.54
2022-01-27,45.66
2022-01-28,46.19
2022-01-29,45.2
2022-01-30,45.5
2022-01-31,42.61
2022-02-01,45.58
2022-02-02,47.34
2022-02-03,44.54
2022-02-04,45.02
2022-02-05,45.45
2022-02-06,46.43
2022-02-07,44.95
2022-02-08,44.54
2022-02-09,45.05
2022-02-10,44.39
2022-02-11,45.26
2022-02-12,44.21
2022-02-13,44.74
2022-02-14,44.63
2022-02-15,45.91
2022-02-16,45.26
2022-02-17,46.5
2022-02-18,42.94
2022-02-19,45.88
2022-02-20,43.95
2022-02-21,44.4
2022-02-22,43.43
2022-02-23,44.14
2022-02-24,44.29
2022-02-25,44.78
2022-02-26,46.29
2022-02-27,45.58
2022-02-28,44.3
2022-03-01,44.48
2022-03-02,45.8
2022-03-03,45.37
2022-03-04,44.89
2022-03-05,46.66
2022-03-06,45.91
2022-03-07,44.96
2022-03-08,44.38
2022-03-09,44.55
2022-03-10,44.39
2022-03-11,44.32
2022-03-12,44.38
2022-03-13,44.67
2022-03-14,42.13
2022-03-15,44.65
2022-03-16,44.45
2022-03-17,43.5
2022-03-18,44.78
2022-03-19,45.18
2022-03-20,44.28
2022-03-21,46.81
2022-03-22,44.81
2022-03-23,43.9
2022-03-24,43.9
2022-03-25,44.37
2022-03-26,45.51
2022-03-27,45.05
2022-03-28,47.08
2022-03-29,44.78
2022-03-30,43.95
2022-03-31,45.94
2022-04-01,44.13
2022-04-02,45.97
2022-04-03,44.92
2022-04-04,45.56
2022-04-05,45.34
2022-04-06,43.1
2022-04-07,44.37
2022-04-08,46.11
2022-04-09,46.41
2022-04-10,43.6
2022-04-11,45.1
2022-04-12,45.47
2022-04-13,45.24
2022-04-14,45.08
2022-04-15,45.06
2022-04-16,43.48
2022-04-17,45.76
2022-04-18,43.24
2022-04-19,46.6
2022-04-20,47.24
2022-04-21,45.43
2022-04-22,46.19
2022-04-23,44.78
2022-04-24,44.55
2022-04-25,45.0
2022-04-26,43.54
2022-04-27,45.04
2022-04-28,45.65
2022-04-29,44.44
2022-04-30,45.69
2022-05-01,44.94
2022-05-02,44.72
2022-05-03,44.23
2022-05-04,45.22
2022-05-05,43.66
2022-05-06,44.76
2022-05-07,44.66
2022-05-08,45.34
2022-05-09,45.5
2022-05-10,43.62
2022-05-11,44.52
2022-05-12,44.02
2022-05-13,45.71
2022-05-14,46.24
2022-05-15,45.11
2022-05-16,46.14
2022-05-17,45.97
2022-05-18,45.05
2022-05-19,45.02
2022-05-20,44.7
2022-05-21,44.33
2022-05-22,44.06
2022-05-23,45.35
2022-05-24,45.34
2022-05-25,44.88
2022-05-26,44.39
2022-05-27,45.75
2022-05-28,45.47
2022-05-29,45.08
2022-05-30,43.73
2022-05-31,45.25
2022-06-01,45.2
2022-06-02,44.42
2022-06-03,45.51
2022-06-04,45.49
2022-06-05,44.98
2022-06-06,44.87
2022-06-07,45.28
2022-06-08,43.5
2022-06-09,45.8
2022-06-10,45.07
2022-06-11,44.05
2022-06-12,43.91
2022-06-13,45.24
2022-06-14,45.18
2022-06-15,44.97
2022-06-16,44.77
2022-06-17,44.11
2022-06-18,44.66
2022-06-19,43.78
2022-06-20,45.88
2022-06-21,44.99
2022-06-22,44.29
2022-06-23,44.63
2022-06-24,44.98
2022-06-25,46.38
2022-06-26,44.05
2022-06-27,44.04
2022-06-28,43.94
2022-06-29,45.61
2022-06-30,44.35
2022-07-01,45.55
2022-07-02,45.07
2022-07-03,45.71
2022-07-04,42.26
2022-07-05,46.92
2022-07-06,44.67
2022-07-07,44.69
2022-07-08,46.23
2022-07-09,43.92
2022-07-10,45.37
2022-07-11,46.03
2022-07-12,44.91
2022-07-13,44.84
2022-07-14,44.47
2022-07-15,45.67
2022-07-16,44.16
2022-07-17,45.23
2022-07-18,45.88
2022-07-19,45.1
2022-07-20,43.73
2022-07-21,44.47
2022-07-22,44.8
2022-07-23,46.41
2022-07-24,44.89
2022-07-25,43.9
2022-07-26,45.67
2022-07-27,44.58
2022-07-28,44.34
2022-07-29,43.58
2022-07-30,44.62
2022-07-31,45.69
2022-08-01,43.58
2022-08-02,45.09
2022-08-03,44.81
2022-08-04,45.41
2022-08-05,44.01
2022-08-06,43.63
2022-08-07,45.03
2022-08-08,44.94
2022-08-09,45.24
2022-08-10,45.68
2022-08-11,45.01
2022-08-12,43.04
2022-08-13,44.83
2022-08-14,44.49
2022-08-15,44.47
2022-08-16,44.84
2022-08-17,43.36
2022-08-18,43.83
2022-08-19,44.43
2022-08-20,45.8
2022-08-21,45.41
2022-08-22,46.47
2022-08-23,45.56
2022-08-24,46.1
2022-08-25,43.94
2022-08-26,44.67
2022-08-27,43.63
2022-08-28,46.93
2022-08-29,46.36
2022-08-30,44.53
2022-08-31,44.59
2022-09-01,45.79
2022-09-02,44.61
2022-09-03,46.1
2022-09-04,44.04
2022-09-05,43.19
2022-09-06,43.28
2022-09-07,45.29
2022-09-08,45.24
2022-09-09,43.99
2022-09-10,44.74
2022-09-11,45.61
2022-09-12,45.07
2022-09-13,47.23
2022-09-14,44.76
