Date,Price
2022-01-01,113.68
2022-01-02,113.81
2022-01-03,114.48
2022-01-04,117.17
2022-01-05,117.37
2022-01-06,117.97
2022-01-07,120.29
2022-01-08,112.96
2022-01-09,115.06
2022-01-10,113.36
2022-01-11,115.93
2022-01-12,117.21
2022-01-13,115.86
2022-01-14,115.54
2022-01-15,112.37
2022-01-16,113.66
2022-01-17,113.78
2022-01-18,118.24
2022-01-19,113.62
2022-01-20,117.88
2022-01-21,115.83
2022-01-22,113.24
2022-01-23,118.13
2022-01-24,112.93
2022-01-25,117.23
2022-01-26,113.88
2022-01-27,112.61
2022-01-28,113.74
2022-01-29,114.96
2022-01-30,117.09
2022-01-31,113.42
2022-02-01,114.4
2022-02-02,113.96
2022-02-03,116.69
2022-02-04,114.51
2022-02-05,114.67
2022-02-06,112.52
2022-02-07,114.99
2022-02-08,115.27
2022-02-09,113.48
2022-02-10,117.35
2022-02-11,116.5
2022-02-12,115.02
2022-02-13,112.28
2022-02-14,117.42
2022-02-15,112.15
2022-02-16,118.37
2022-02-17,115.71
2022-02-18,114.78
2022-02-19,112.33
2022-02-20,118.32
2022-02-21,114.58
2022-02-22,112.1
2022-02-23,113.25
2022-02-24,111.21
2022-02-25,117.48
2022-02-26,112.26
2022-02-27,117.78
2022-02-28,116.37
2022-03-01,117.09
2022-03-02,113.85
2022-03-03,114.93
2022-03-04,119.01
2022-03-05,116.28
2022-03-06,116.09
2022-03-07,116.0
2022-03-08,114.08
2022-03-09,115.37
2022-03-10,116.87
2022-03-11,111.49
2022-03-12,115.61
2022-03-13,113.4
2022-03-14,118.03
2022-03-15,113.75
2022-03-16,113.92
2022-03-17,115.72
2022-03-18,112.44
2022-03-19,116.13
2022-03-20,113.52
2022-03-21,113.12
2022-03-22,117.94
2022-03-23,113.68
2022-03-24,116.12
2022-03-25,113.21
2022-03-26,115.9
2022-03-27,116.23
2022-03-28,116.38
2022-03-29,115.28
2022-03-30,116.77
2022-03-31,113.94
2022-04-01,116.82
2022-04-02,114.63
2022-04-03,116.01
2022-04-04,115.56
2022-04-05,115.48
2022-04-06,115.75
2022-04-07,111.87
2022-04-08,115.33
2022-04-09,116.09
2022-04-10,117.34
2022-04-11,115.66
