Date,Price
2022-01-01,34.43
2022-01-02,34.48
2022-01-03,35.14
2022-01-04,34.07
2022-01-05,34.14
2022-01-06,35.42
2022-01-07,34.68
2022-01-08,33.88
2022-01-09,33.08
2022-01-10,34.66
2022-01-11,33.92
2022-01-12,35.32
2022-01-13,34.84
2022-01-14,35.79
2022-01-15,36.19
2022-01-16,32.38
2022-01-17,34.53
2022-01-18,33.89
2022-01-19,33.53
2022-01-20,35.23
2022-01-21,34.55
2022-01-22,35.58
2022-01-23,34.87
2022-01-24,35.48
2022-01-25,35.86
2022-01-26,35.08
2022-01-27,33.6
2022-01-28,34.53
2022-01-29,35.31
2022-01-30,35.44
2022-01-31,34.22
2022-02-01,35.01
2022-02-02,34.79
2022-02-03,35.46
2022-02-04,34.46
2022-02-05,35.28
2022-02-06,36.1
2022-02-07,35.7
2022-02-08,34.55
2022-02-09,33.55
2022-02-10,35.44
2022-02-11,33.13
2022-02-12,36.06
2022-02-13,35.68
2022-02-14,36.41
2022-02-15,34.69
2022-02-16,34.38
2022-02-17,35.43
2022-02-18,33.96
2022-02-19,35.48
2022-02-20,33.21
2022-02-21,34.85
2022-02-22,35.47
2022-02-23,36.25
2022-02-24,34.41
2022-02-25,34.76
2022-02-26,35.31
2022-02-27,34.2
2022-02-28,35.29
2022-03-01,33.93
2022-03-02,34.6
2022-03-03,34.24
2022-03-04,34.88
2022-03-05,36.32
2022-03-06,35.41
2022-03-07,35.11
2022-03-08,35.43
2022-03-09,34.36
2022-03-10,34.86
2022-03-11,35.42
2022-03-12,34.17
2022-03-13,36.82
2022-03-14,33.93
2022-03-15,33.79
2022-03-16,34.66
2022-03-17,34.62
2022-03-18,36.05
2022-03-19,33.68
2022-03-20,34.52
2022-03-21,36.13
2022-03-22,35.44
2022-03-23,35.62
2022-03-24,36.66
2022-03-25,35.63
2022-03-26,33.56
2022-03-27,34.99
2022-03-28,35.34
2022-03-29,35.41
2022-03-30,35.24
2022-03-31,34.18
2022-04-01,35.13
2022-04-02,34.12
2022-04-03,34.63
2022-04-04,34.07
2022-04-05,34.0
2022-04-06,35.04
2022-04-07,34.59
2022-04-08,36.24
2022-04-09,35.05
2022-04-10,35.03
2022-04-11,35.82
2022-04-12,35.37
2022-04-13,34.06
2022-04-14,34.95
2022-04-15,35.49
2022-04-16,34.92
2022-04-17,35.58
2022-04-18,36.75
2022-04-19,34.44
2022-04-20,34.01
2022-04-21,35.47
2022-04-22,37.14
2022-04-23,34.9
2022-04-24,36.66
2022-04-25,34.95
2022-04-26,34.89
2022-04-27,34.15
2022-04-28,36.21
2022-04-29,33.95
2022-04-30,36.42
2022-05-01,33.8
2022-05-02,34.33
2022-05-03,34.38
2022-05-04,34.89
2022-05-05,36.59
2022-05-06,34.53
2022-05-07,32.35
2022-05-08,33.44
2022-05-09,34.77
2022-05-10,35.32
2022-05-11,35.27
2022-05-12,35.35
2022-05-13,35.11
2022-05-14,34.16
2022-05-15,32.29
2022-05-16,35.34
2022-05-17,32.82
2022-05-18,34.75
2022-05-19,36.05
2022-05-20,35.73
2022-05-21,34.47
2022-05-22,34.83
2022-05-23,34.68
2022-05-24,35.39
2022-05-25,34.85
2022-05-26,34.5
