Date,Price
2022-01-01,84.61
2022-01-02,80.56
2022-01-03,83.22
2022-01-04,88.81
2022-01-05,84.88
2022-01-06,83.45
2022-01-07,84.65
2022-01-08,84.64
2022-01-09,86.09
2022-01-10,87.01
2022-01-11,82.03
2022-01-12,86.82
2022-01-13,83.24
2022-01-14,84.77
2022-01-15,85.19
2022-01-16,87.17
2022-01-17,83.18
2022-01-18,85.88
2022-01-19,86.3
2022-01-20,83.76
2022-01-21,83.59
2022-01-22,85.68
2022-01-23,82.34
2022-01-24,84.46
2022-01-25,84.51
2022-01-26,83.03
2022-01-27,81.26
2022-01-28,85.75
2022-01-29,84.14
2022-01-30,88.88
2022-01-31,81.99
2022-02-01,84.72
2022-02-02,86.52
2022-02-03,82.82
2022-02-04,84.5
2022-02-05,87.8
2022-02-06,85.76
2022-02-07,85.97
2022-02-08,87.26
2022-02-09,84.26
2022-02-10,84.27
2022-02-11,86.05
2022-02-12,83.6
2022-02-13,85.58
2022-02-14,88.98
2022-02-15,85.15
2022-02-16,81.74
2022-02-17,85.91
2022-02-18,87.82
2022-02-19,88.41
2022-02-20,84.23
2022-02-21,86.56
2022-02-22,83.09
2022-02-23,85.34
2022-02-24,83.16
2022-02-25,87.31
2022-02-26,83.72
2022-02-27,85.19
2022-02-28,84.95
2022-03-01,85.32
2022-03-02,86.51
2022-03-03,86.07
2022-03-04,84.44
2022-03-05,80.01
2022-03-06,85.47
2022-03-07,82.84
2022-03-08,84.27
2022-03-09,87.85
2022-03-10,86.37
2022-03-11,84.01
2022-03-12,83.85
2022-03-13,82.98
2022-03-14,85.02
2022-03-15,83.04
2022-03-16,86.87
2022-03-17,87.63
2022-03-18,83.61
2022-03-19,86.12
2022-03-20,85.3
2022-03-21,80.26
2022-03-22,85.94
2022-03-23,84.52
2022-03-24,86.67
2022-03-25,83.6
2022-03-26,86.34
2022-03-27,81.95
2022-03-28,83.3
2022-03-29,83.57
2022-03-30,83.85
2022-03-31,85.34
2022-04-01,83.7
2022-04-02,87.62
2022-04-03,83.87
2022-04-04,85.26
2022-04-05,86.49
2022-04-06,82.03
2022-04-07,86.49
2022-04-08,85.11
2022-04-09,86.95
2022-04-10,84.55
2022-04-11,84.38
2022-04-12,84.11
2022-04-13,87.29
2022-04-14,85.59
2022-04-15,88.93
2022-04-16,85.37
2022-04-17,83.94
2022-04-18,84.34
2022-04-19,84.87
2022-04-20,81.98
2022-04-21,86.81
2022-04-22,84.92
2022-04-23,87.33
2022-04-24,86.72
2022-04-25,86.86
2022-04-26,83.0
2022-04-27,85.09
2022-04-28,86.66
2022-04-29,81.6
2022-04-30,84.54
2022-05-01,83.42
2022-05-02,87.15
2022-05-03,83.22
2022-05-04,80.28
2022-05-05,83.5
2022-05-06,84.75
2022-05-07,85.35
2022-05-08,83.81
2022-05-09,84.09
2022-05-10,84.66
2022-05-11,86.76
2022-05-12,83.48
2022-05-13,84.33
2022-05-14,80.01
2022-05-15,87.45
2022-05-16,86.22
2022-05-17,85.64
2022-05-18,83.98
2022-05-19,87.38
2022-05-20,82.06
2022-05-21,88.76
2022-05-22,80.77
2022-05-23,84.41
2022-05-24,83.62
2022-05-25,86.5
2022-05-26,85.33
2022-05-27,81.67
2022-05-28,84.34
2022-05-29,85.14
2022-05-30,88.12
2022-05-31,86.15
2022-06-01,86.52
2022-06-02,84.48
2022-06-03,85.58
2022-06-04,86.83
2022-06-05,85.01
2022-06-06,89.18
2022-06-07,86.46
2022-06-08,88.34
2022-06-09,83.89
2022-06-10,86.03
2022-06-11,84.04
2022-06-12,85.45
2022-06-13,86.45
2022-06-14,86.61
2022-06-15,84.12
2022-06-16,83.15
2022-06-17,80.94
2022-06-18,83.49
2022-06-19,81.44
2022-06-20,80.64
2022-06-21,90.85
2022-06-22,84.13
2022-06-23,85.83
2022-06-24,84.3
2022-06-25,84.98
2022-06-26,86.52
2022-06-27,87.53
2022-06-28,83.99
2022-06-29,85.66
2022-06-30,84.75
2022-07-01,87.5
2022-07-02,84.49
2022-07-03,84.28
2022-07-04,85.22
2022-07-05,82.48
2022-07-06,84.94
2022-07-07,84.84
2022-07-08,82.99
2022-07-09,84.79
2022-07-10,81.45
2022-07-11,84.09
2022-07-12,83.37
2022-07-13,83.86
2022-07-14,80.0
2022-07-15,83.04
2022-07-16,83.04
2022-07-17,81.96
2022-07-18,88.37
2022-07-19,89.98
2022-07-20,81.36
2022-07-21,84.23
2022-07-22,84.62
2022-07-23,84.78
2022-07-24,83.03
2022-07-25,87.53
2022-07-26,84.53
2022-07-27,86.65
2022-07-28,84.97
2022-07-29,81.23
2022-07-30,82.9
2022-07-31,83.57
2022-08-01,84.54
2022-08-02,84.87
2022-08-03,83.13
2022-08-04,85.67
2022-08-05,81.49
2022-08-06,82.63
2022-08-07,86.21
2022-08-08,86.28
2022-08-09,82.49
2022-08-10,80.73
2022-08-11,83.87
2022-08-12,85.38
2022-08-13,82.61
2022-08-14,84.85
2022-08-15,86.36
2022-08-16,86.61
2022-08-17,87.82
2022-08-18,86.3
2022-08-19,85.49
2022-08-20,84.87
2022-08-21,88.47
2022-08-22,85.39
2022-08-23,83.79
2022-08-24,82.64
2022-08-25,83.24
2022-08-26,85.6
2022-08-27,85.03
2022-08-28,81.04
2022-08-29,86.57
2022-08-30,85.37
2022-08-31,84.4
2022-09-01,84.59
2022-09-02,84.79
2022-09-03,85.01
2022-09-04,87.53
2022-09-05,85.87
2022-09-06,87.01
2022-09-07,82.47
2022-09-08,86.62
2022-09-09,81.39
2022-09-10,82.65
2022-09-11,86.54
2022-09-12,80.53
2022-09-13,78.72
2022-09-14,82.18
2022-09-15,83.04
2022-09-16,82.29
2022-09-17,84.06
2022-09-18,84.11
2022-09-19,82.99
2022-09-20,85.14
2022-09-21,84.33
2022-09-22,88.41
2022-09-23,87.99
2022-09-24,84.25
2022-09-25,88.2
2022-09-26,84.78
2022-09-27,84.63
2022-09-28,83.95
2022-09-29,85.97
2022-09-30,85.21
2022-10-01,84.04
2022-10-02,82.76
2022-10-03,82.88
2022-10-04,88.11
2022-10-05,83.37
2022-10-06,82.23
2022-10-07,82.58
2022-10-08,83.63
2022-10-09,84.57
2022-10-10,85.25
2022-10-11,89.44
2022-10-12,88.15
2022-10-13,85.24
2022-10-14,84.08
2022-10-15,85.17
2022-10-16,85.01
2022-10-17,83.32
2022-10-18,82.51
2022-10-19,84.39
2022-10-20,88.26
2022-10-21,83.94
2022-10-22,86.45
2022-10-23,83.65
2022-10-24,84.49
2022-10-25,84.02
2022-10-26,85.63
2022-10-27,82.7
2022-10-28,84.22
2022-10-29,84.49
2022-10-30,81.52
2022-10-31,84.12
2022-11-01,83.13
2022-11-02,87.55
2022-11-03,85.18
2022-11-04,85.48
2022-11-05,85.04
2022-11-06,82.9
2022-11-07,83.72
2022-11-08,86.81
2022-11-09,86.04
2022-11-10,83.21
2022-11-11,81.23
2022-11-12,86.23
2022-11-13,82.87
2022-11-14,85.9
2022-11-15,86.68
2022-11-16,89.52
2022-11-17,80.87
2022-11-18,85.18
2022-11-19,86.28
2022-11-20,87.3
2022-11-21,87.28
2022-11-22,82.81
2022-11-23,82.5
2022-11-24,85.05
2022-11-25,85.39
2022-11-26,81.85
2022-11-27,88.23
2022-11-28,86.49
2022-11-29,85.41
2022-11-30,81.47
2022-12-01,88.88
2022-12-02,86.33
2022-12-03,83.99
2022-12-04,85.98
2022-12-05,84.17
2022-12-06,85.06
2022-12-07,85.0
2022-12-08,85.63
2022-12-09,82.48
2022-12-10,84.78
2022-12-11,85.72
2022-12-12,85.45
2022-12-13,83.79
2022-12-14,83.97
2022-12-15,88.19
2022-12-16,84.5
2022-12-17,86.77
2022-12-18,85.42
2022-12-19,85.28
2022-12-20,84.27
2022-12-21,86.25
2022-12-22,84.52
2022-12-23,86.77
2022-12-24,84.17
2022-12-25,86.67
2022-12-26,81.71
2022-12-27,84.61
2022-12-28,87.63
2022-12-29,83.88
2022-12-30,81.33
2022-12-31,81.72
2023-01-01,81.7
2023-01-02,85.03
2023-01-03,84.14
2023-01-04,86.67
2023-01-05,83.83
2023-01-06,83.91
2023-01-07,84.1
2023-01-08,83.42
2023-01-09,87.25
2023-01-10,81.41
2023-01-11,84.7
2023-01-12,84.72
2023-01-13,83.97
2023-01-14,83.32
2023-01-15,87.69
2023-01-16,83.36
2023-01-17,84.67
2023-01-18,85.06
2023-01-19,82.73
2023-01-20,83.6
2023-01-21,83.91
2023-01-22,82.56
2023-01-23,89.3
2023-01-24,85.21
2023-01-25,85.05
2023-01-26,84.34
2023-01-27,85.64
2023-01-28,84.17
2023-01-29,83.92
2023-01-30,82.94
2023-01-31,84.9
2023-02-01,83.41
2023-02-02,85.18
2023-02-03,82.52
2023-02-04,80.94
2023-02-05,84.96
2023-02-06,87.43
2023-02-07,85.6
2023-02-08,84.46
2023-02-09,82.12
2023-02-10,85.35
2023-02-11,83.41
2023-02-12,86.15
2023-02-13,87.05
2023-02-14,82.05
2023-02-15,85.7
2023-02-16,83.88
2023-02-17,83.22
2023-02-18,89.35
2023-02-19,88.33
2023-02-20,84.82
2023-02-21,84.58
2023-02-22,83.49
2023-02-23,83.26
2023-02-24,87.58
2023-02-25,83.7
2023-02-26,81.17
2023-02-27,84.06
2023-02-28,86.4
2023-03-01,83.12
2023-03-02,82.13
2023-03-03,84.03
2023-03-04,80.9
2023-03-05,89.42
2023-03-06,85.29
2023-03-07,84.63
2023-03-08,82.79
2023-03-09,86.32
2023-03-10,87.79
2023-03-11,82.31
2023-03-12,86.37
2023-03-13,85.43
2023-03-14,84.2
2023-03-15,85.33
2023-03-16,85.16
2023-03-17,83.86
2023-03-18,84.75
2023-03-19,85.31
2023-03-20,89.17
2023-03-21,84.06
2023-03-22,86.57
2023-03-23,88.83
2023-03-24,85.9
2023-03-25,88.67
2023-03-26,87.22
2023-03-27,87.38
2023-03-28,83.66
2023-03-29,87.08
2023-03-30,88.15
2023-03-31,84.47
2023-04-01,82.39
2023-04-02,80.94
2023-04-03,84.79
2023-04-04,82.09
2023-04-05,87.66
2023-04-06,87.18
2023-04-07,85.24
2023-04-08,83.43
2023-04-09,83.74
2023-04-10,85.1
2023-04-11,86.35
2023-04-12,90.43
2023-04-13,83.91
2023-04-14,81.44
2023-04-15,84.94
2023-04-16,82.54
2023-04-17,86.35
2023-04-18,83.58
2023-04-19,84.9
2023-04-20,83.58
2023-04-21,87.05
2023-04-22,81.95
2023-04-23,84.85
2023-04-24,81.77
2023-04-25,85.38
2023-04-26,84.84
2023-04-27,86.98
2023-04-28,85.6
2023-04-29,87.23
2023-04-30,84.4
2023-05-01,84.03
2023-05-02,85.45
2023-05-03,85.43
2023-05-04,83.0
2023-05-05,86.56
2023-05-06,82.45
2023-05-07,90.39
2023-05-08,83.45
2023-05-09,84.15
2023-05-10,82.74
2023-05-11,85.29
2023-05-12,85.37
2023-05-13,81.23
2023-05-14,87.21
2023-05-15,86.6
2023-05-16,88.15
2023-05-17,87.56
2023-05-18,84.47
2023-05-19,83.12
2023-05-20,86.04
2023-05-21,85.86
2023-05-22,83.57
2023-05-23,83.68
2023-05-24,88.88
2023-05-25,85.44
2023-05-26,85.15
2023-05-27,88.45
2023-05-28,86.55
2023-05-29,88.94
2023-05-30,87.17
