Date,Price
2022-01-01,44.5
2022-01-02,42.74
2022-01-03,45.1
2022-01-04,45.71
2022-01-05,44.49
2022-01-06,44.68
2022-01-07,43.38
2022-01-08,45.91
2022-01-09,44.39
2022-01-10,44.72
2022-01-11,44.97
2022-01-12,44.08
2022-01-13,45.61
2022-01-14,44.47
2022-01-15,45.5
2022-01-16,45.13
2022-01-17,45.13
2022-01-18,45.68
2022-01-19,43.92
2022-01-20,45.76
2022-01-21,43.49
2022-01-22,44.5
2022-01-23,45.93
2022-01-24,46.36
2022-01-25,45.73
2022-01-26,44.83
2022-01-27,44.29
2022-01-28,44.8
2022-01-29,45.97
2022-01-30,46.46
2022-01-31,44.9
2022-02-01,44.97
2022-02-02,45.4
2022-02-03,44.51
2022-02-04,45.0
2022-02-05,44.75
2022-02-06,44.69
2022-02-07,44.85
2022-02-08,45.55
2022-02-09,45.66
2022-02-10,43.55
2022-02-11,45.94
2022-02-12,44.67
2022-02-13,45.08
2022-02-14,45.35
2022-02-15,44.81
2022-02-16,43.45
2022-02-17,45.01
2022-02-18,44.85
2022-02-19,46.0
2022-02-20,45.08
2022-02-21,44.16
2022-02-22,44.36
2022-02-23,45.24
2022-02-24,44.38
2022-02-25,44.45
2022-02-26,44.86
2022-02-27,44.82
2022-02-28,45.8
2022-03-01,42.46
2022-03-02,45.56
2022-03-03,44.66
2022-03-04,44.81
2022-03-05,44.71
2022-03-06,44.42
2022-03-07,44.99
2022-03-08,46.0
2022-03-09,44.73
2022-03-10,46.36
2022-03-11,45.18
2022-03-12,44.92
2022-03-13,44.87
2022-03-14,46.09
2022-03-15,44.04
2022-03-16,43.29
2022-03-17,43.41
2022-03-18,45.54
2022-03-19,44.04
2022-03-20,46.28
2022-03-21,46.1
2022-03-22,45.69
2022-03-23,45.99
2022-03-24,45.25
2022-03-25,45.07
2022-03-26,44.62
2022-03-27,47.78
2022-03-28,45.7
2022-03-29,45.27
2022-03-30,45.21
2022-03-31,45.89
2022-04-01,47.3
2022-04-02,45.98
2022-04-03,45.24
2022-04-04,45.15
2022-04-05,43.93
2022-04-06,45.7
2022-04-07,43.1
2022-04-08,44.45
2022-04-09,44.94
2022-04-10,44.31
2022-04-11,46.34
2022-04-12,44.08
2022-04-13,45.65
2022-04-14,44.84
2022-04-15,44.73
2022-04-16,44.95
2022-04-17,44.57
2022-04-18,46.5
2022-04-19,47.03
2022-04-20,45.74
2022-04-21,44.95
2022-04-22,45.44
2022-04-23,44.25
2022-04-24,44.2
2022-04-25,46.29
2022-04-26,45.29
2022-04-27,44.24
2022-04-28,46.08
2022-04-29,44.91
2022-04-30,45.12
2022-05-01,44.73
2022-05-02,45.3
2022-05-03,43.13
2022-05-04,45.06
2022-05-05,45.64
2022-05-06,43.6
2022-05-07,44.57
2022-05-08,43.91
2022-05-09,46.55
2022-05-10,44.84
2022-05-11,45.4
2022-05-12,45.89
2022-05-13,45.33
2022-05-14,45.38
2022-05-15,45.87
2022-05-16,45.28
2022-05-17,45.83
2022-05-18,44.61
2022-05-19,46.86
2022-05-20,45.21
2022-05-21,44.79
2022-05-22,44.97
2022-05-23,46.12
2022-05-24,45.32
2022-05-25,46.12
2022-05-26,45.84
2022-05-27,45.47
2022-05-28,44.81
2022-05-29,47.26
2022-05-30,45.59
2022-05-31,45.52
2022-06-01,44.37
2022-06-02,44.39
2022-06-03,44.18
2022-06-04,45.92
2022-06-05,43.92
2022-06-06,43.46
2022-06-07,45.92
2022-06-08,45.2
2022-06-09,43.71
2022-06-10,44.32
2022-06-11,46.43
2022-06-12,44.85
2022-06-13,43.88
2022-06-14,45.1
2022-06-15,45.59
2022-06-16,43.66
2022-06-17,45.26
2022-06-18,44.17
2022-06-19,47.28
2022-06-20,44.62
2022-06-21,46.42
2022-06-22,44.0
2022-06-23,45.22
2022-06-24,44.42
2022-06-25,46.02
2022-06-26,45.09
2022-06-27,43.24
2022-06-28,45.24
2022-06-29,43.9
2022-06-30,44.46
2022-07-01,46.03
2022-07-02,45.52
2022-07-03,45.63
2022-07-04,45.68
2022-07-05,45.48
2022-07-06,44.59
2022-07-07,45.61
2022-07-08,43.85
2022-07-09,45.18
2022-07-10,46.3
2022-07-11,45.03
2022-07-12,45.02
2022-07-13,45.08
2022-07-14,44.48
2022-07-15,46.45
2022-07-16,44.72
2022-07-17,45.23
2022-07-18,44.36
2022-07-19,45.61
2022-07-20,43.95
2022-07-21,44.94
2022-07-22,44.58
2022-07-23,45.08
2022-07-24,45.72
2022-07-25,43.62
2022-07-26,44.35
2022-07-27,46.03
2022-07-28,45.11
2022-07-29,46.1
2022-07-30,45.62
2022-07-31,44.9
2022-08-01,45.38
2022-08-02,45.94
2022-08-03,45.24
2022-08-04,45.43
2022-08-05,44.99
2022-08-06,44.68
2022-08-07,44.13
2022-08-08,45.38
2022-08-09,43.38
2022-08-10,44.38
2022-08-11,45.38
2022-08-12,44.62
2022-08-13,44.48
2022-08-14,44.0
2022-08-15,45.28
2022-08-16,45.23
2022-08-17,44.64
2022-08-18,46.1
2022-08-19,45.39
2022-08-20,44.36
2022-08-21,45.28
2022-08-22,44.52
2022-08-23,45.58
2022-08-24,43.37
2022-08-25,45.91
2022-08-26,44.07
2022-08-27,46.14
2022-08-28,44.76
2022-08-29,46.16
2022-08-30,45.84
2022-08-31,44.97
2022-09-01,45.29
2022-09-02,45.23
2022-09-03,46.09
2022-09-04,45.0
2022-09-05,45.59
2022-09-06,44.39
2022-09-07,45.37
2022-09-08,45.68
2022-09-09,45.34
2022-09-10,43.68
2022-09-11,45.06
2022-09-12,45.53
2022-09-13,44.32
2022-09-14,45.53
2022-09-15,45.38
2022-09-16,45.44
2022-09-17,45.86
2022-09-18,46.71
2022-09-19,44.96
2022-09-20,44.93
2022-09-21,44.95
2022-09-22,45.73
2022-09-23,44.68
2022-09-24,44.46
2022-09-25,44.48
2022-09-26,44.23
2022-09-27,44.97
2022-09-28,45.18
2022-09-29,44.36
2022-09-30,46.1
2022-10-01,46.3
2022-10-02,45.19
2022-10-03,44.47
2022-10-04,45.43
2022-10-05,44.63
2022-10-06,44.52
2022-10-07,45.11
2022-10-08,46.58
2022-10-09,44.08
2022-10-10,44.43
2022-10-11,44.7
2022-10-12,45.64
2022-10-13,45.28
2022-10-14,44.04
2022-10-15,44.45
2022-10-16,45.66
2022-10-17,46.58
2022-10-18,43.95
2022-10-19,44.89
2022-10-20,45.29
2022-10-21,43.64
2022-10-22,44.98
2022-10-23,44.33
2022-10-24,44.49
2022-10-25,45.83
2022-10-26,44.86
2022-10-27,44.14
2022-10-28,44.79
2022-10-29,46.08
2022-10-30,44.09
2022-10-31,45.21
2022-11-01,46.14
2022-11-02,45.13
2022-11-03,46.1
2022-11-04,45.0
2022-11-05,46.26
2022-11-06,43.59
2022-11-07,46.25
2022-11-08,46.04
2022-11-09,44.89
2022-11-10,45.01
2022-11-11,45.37
2022-11-12,42.57
2022-11-13,44.91
2022-11-14,44.73
2022-11-15,46.19
2022-11-16,44.71
2022-11-17,44.88
2022-11-18,45.71
2022-11-19,45.29
2022-11-20,45.3
2022-11-21,46.12
2022-11-22,44.49
2022-11-23,44.92
2022-11-24,43.47
2022-11-25,46.55
2022-11-26,46.19
2022-11-27,46.36
